# Variedades de olivo — datos PROVISIONALES.
# Fuente orientativa: MAPA Registro de Variedades + IFAPA Catálogo de Variedades.
# Hasta que un agrónomo olivarero firme `revisado_por`, los datos son orientativos.
# Columnas:
#   id              snake_case ASCII (picual, hojiblanca…).
#   nombre_canonico Nombre comercial canónico.
#   color_aceituna  verde / negra / morada (color predominante en su madurez).
#   uso             almazara / mesa / mesa_almazara (variedad de doble aptitud).
#   zona_principal  Comarca o provincia donde es mayoritaria. Texto libre.
#   sinonimias      separadas por |, vacío si no las hay.
#   revisado_por    rellenar al validar (nombre + colegiación / referencia).
id,nombre_canonico,color_aceituna,uso,zona_principal,sinonimias,revisado_por
picual,Picual,negra,almazara,Jaén / Córdoba,marteño|nevadillo blanco,
hojiblanca,Hojiblanca,negra,mesa_almazara,Antequera / Estepa / Lucena,lucentina,
arbequina,Arbequina,negra,almazara,Lleida / Tarragona / Andalucía superintensivo,arbequí,
cornicabra,Cornicabra,negra,almazara,Toledo / Ciudad Real / Madrid,cornezuelo,
manzanilla_cacerena,Manzanilla Cacereña,negra,mesa_almazara,Cáceres / Badajoz,manzanilla del norte,
manzanilla_sevillana,Manzanilla de Sevilla,verde,mesa,Sevilla / Huelva,manzanilla fina,
gordal_sevillana,Gordal Sevillana,verde,mesa,Sevilla,gordal|reina,
empeltre,Empeltre,negra,almazara,Aragón / Baleares / Tarragona,injerto,
farga,Farga,negra,almazara,Castellón / Tarragona / sur Aragón,,
morrut,Morrut,negra,almazara,Tarragona / Castellón,morrudo,
sevillenca,Sevillenca,negra,almazara,Tarragona,,
verdial_huevar,Verdial de Huévar,verde,mesa_almazara,Huelva / Sevilla,,
verdial_velez_malaga,Verdial de Vélez-Málaga,negra,almazara,Málaga / Granada,,
aloreña,Aloreña de Málaga,verde,mesa,Valle del Guadalhorce,,
royal_cazorla,Royal de Cazorla,morada,almazara,Sierra de Cazorla,royuela,
nevadillo_negro,Nevadillo Negro,negra,almazara,Jaén / Córdoba,,
lechin_sevilla,Lechín de Sevilla,negra,almazara,Sevilla / Cádiz / Huelva,zorzaleño,
lechin_granada,Lechín de Granada,negra,almazara,Granada / Almería,,
picudo,Picudo,negra,almazara,Córdoba / Jaén / Granada,carrasqueño de Córdoba,
picuda,Picuda,negra,almazara,Sierras Subbéticas,,
chorruo,Chorrúo,negra,almazara,Jaén,,
blanqueta,Blanqueta,negra,almazara,Alicante / Valencia,,
villalonga,Villalonga,negra,almazara,Valencia,,
changlot_real,Changlot Real,negra,almazara,Valencia,,
serrana_espadan,Serrana de Espadán,negra,almazara,Castellón,,
mallorquina_mallorquina,Mallorquina,negra,mesa_almazara,Mallorca,empeltre mallorquí,
arbosana,Arbosana,negra,almazara,Tarragona / superintensivo,,
arroniz,Arróniz,negra,almazara,Navarra / La Rioja,,
nyam_de_perol,Nyam de Perol,negra,mesa,Empordà,,
argudell,Argudell,negra,almazara,Girona / Empordà,,
corbella,Corbella,negra,almazara,Empordà,,
verdeja,Verdeja,verde,mesa_almazara,Tierra de Campos,,
cobrancosa,Cobrançosa,negra,almazara,Trás-os-Montes (PT) + frontera Zamora,,
galega_vulgar,Galega Vulgar,negra,almazara,Portugal interior + frontera Salamanca,,
cordovil_serpa,Cordovil de Serpa,negra,almazara,Bajo Alentejo,,
carrasqueña_extremadura,Carrasqueña de Extremadura,negra,almazara,Badajoz / Cáceres,,
morisca_extremadura,Morisca,negra,almazara,Badajoz,,
verdial_badajoz,Verdial de Badajoz,verde,mesa,Badajoz,,
ocal,Ocal,negra,almazara,Badajoz / Cáceres,,
torcio_cabra,Torcio de Cabra,negra,almazara,Sierras Subbéticas,,
