# DATOS PROVISIONALES SIN VALIDAR POR INGENIERO TÉCNICO FORESTAL
# Fuente: bibliografía de jardinería urbana ibérica + inventarios públicos de
# ayuntamientos (Madrid, Barcelona, Vitoria-Gasteiz, Iruña)
# Validar con ingeniero técnico forestal o de jardinería antes de producción
# comercial.
#
# Columnas:
#   id                      snake_case sin tildes (estable, no cambiar tras producción)
#   nombre_canonico         nombre visible en castellano
#   nombre_cientifico       binomial latino
#   familia                 caducifolio | perenne_caducifolio | perenne | palmacea | conifera
#   altura_max_metros       altura adulta orientativa
#   uso_urbano_tipico       texto libre — alineación, parque, plaza, etc.
#   tolerancia_poda         alta | media | baja
#   notas                   texto libre — particularidades urbanas (sombra, hojas alérgenas, etc.)
#   revisado_por            vacío hasta validación
#   fecha_revision          vacía hasta validación
id,nombre_canonico,nombre_cientifico,familia,altura_max_metros,uso_urbano_tipico,tolerancia_poda,notas,revisado_por,fecha_revision
platano_sombra,Plátano de sombra,Platanus × hispanica,caducifolio,30,Alineación de paseos y avenidas anchas,alta,Especie urbana más frecuente en España. Susceptible a anthracnosis y oídio. Hoja grande y alérgena para algunas personas,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
tilo,Tilo común,Tilia platyphyllos,caducifolio,25,Parque y avenida de orden alto,media,Aroma floral en junio. Atrae abejas — vigilar piquera con apicultura urbana,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
fresno_comun,Fresno común,Fraxinus excelsior,caducifolio,30,Parque y ribera urbana,media,Hoja compuesta. Buen porte de copa,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
acer_negundo,Arce negundo,Acer negundo,caducifolio,15,Plaza pequeña y alineación urbana,alta,Crecimiento rápido — requiere poda anual de mantenimiento,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
almendro_ornamental,Almendro ornamental,Prunus dulcis,caducifolio,8,Plaza y parque pequeño,media,Floración temprana de gran valor ornamental. Susceptible a chancro,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
pino_pinonero,Pino piñonero,Pinus pinea,perenne,25,Parque y zona ajardinada amplia,baja,Riesgo procesionaria del pino. Copa parasol característica,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
pino_carrasco,Pino carrasco,Pinus halepensis,perenne,20,Parque mediterráneo,baja,Riesgo procesionaria. Adaptado a clima seco,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
palmera_datilera,Palmera datilera,Phoenix dactylifera,palmacea,25,Avenida y plaza monumental,baja,Vector picudo rojo — DECLARACIÓN OBLIGATORIA si se confirma plaga,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
palmera_canaria,Palmera canaria,Phoenix canariensis,palmacea,18,Avenida y plaza monumental,baja,Vector picudo rojo — DECLARACIÓN OBLIGATORIA si se confirma plaga. Más sensible que la datilera,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
naranjo_amargo,Naranjo amargo,Citrus aurantium,perenne,10,Alineación cálida (Andalucía y Levante),media,Frutos no comestibles. Aroma del azahar característico de Sevilla,Inventarios municipales Madrid + Barcelona OpenData + AEPJP,2026-05-08
