# DATOS PROVISIONALES SIN VALIDAR POR INGENIERO TÉCNICO FORESTAL
# Fuente: bibliografía de patología forestal urbana + boletines de avisos
# fitosanitarios de servicios autonómicos
# Validar con ingeniero técnico forestal o de jardinería antes de producción.
#
# Categorías:
#   plaga_insecto       defoliadores, perforadores, cochinillas
#   enfermedad_fungica  hongos de hoja, madera o sistémicos
#   enfermedad_bacteriana
#   plaga_invasora      especie alóctona regulada (DECLARACIÓN OBLIGATORIA)
#   trastorno_abiotico  contaminación, salinidad, herida, fitotoxicidad
#
# Columnas:
#   id                       snake_case sin tildes
#   nombre_comun             nombre habitual en español
#   nombre_cientifico        binomial latino, vacío para abióticos
#   tipo                     plaga_insecto | enfermedad_fungica | enfermedad_bacteriana | plaga_invasora | trastorno_abiotico
#   especies_objetivo        ids de especies del catálogo de árboles separados por `|`, vacío si genérico
#   sintomas                 texto libre — síntomas observables
#   ventana_aviso            ventana habitual de detección (texto libre)
#   manejo_cultural          texto libre — qué puede hacer el operario sin químicos
#   declaracion_oficial      no | si — si requiere notificación a Servicios Fitosanitarios
#   riesgo_sanitario_publico no | si — si afecta a la salud de los viandantes (urticaria, etc.)
#   notas                    texto libre
#   revisado_por             vacío hasta validación
#   fecha_revision           vacía hasta validación
id,nombre_comun,nombre_cientifico,tipo,especies_objetivo,sintomas,ventana_aviso,manejo_cultural,declaracion_oficial,riesgo_sanitario_publico,notas,revisado_por,fecha_revision
procesionaria_pino,Procesionaria del pino,Thaumetopoea pityocampa,plaga_insecto,pino_pinonero|pino_carrasco,Bolsones blancos algodonosos en ramas|defoliación|orugas en procesión por el suelo en primavera,Otoño-invierno (bolsones)|primavera (procesiones),Trampas de feromonas en otoño|colocación de trampas de embudo descenso|destrucción manual de bolsones por personal con EPI|cinturón de cartón ondulado en el tronco,no,si,Las orugas tienen pelos urticantes que provocan reacciones graves en personas y animales — vigilancia activa en zonas escolares y paseos,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
picudo_rojo,Picudo rojo de las palmeras,Rhynchophorus ferrugineus,plaga_invasora,palmera_datilera|palmera_canaria,Hojas centrales colgantes|aspecto decapitado de la copa|aserrín característico en la base|orificios en estípite,Todo el año (más visible en verano),Trampeo masivo|saneamiento e incineración del material infectado|vigilancia de palmeras importadas,si,no,DECLARACIÓN OBLIGATORIA. Especie regulada por Reglamento UE 2019/2072 y RD 526/2014.,Reglamento UE 2019/2072 + RD 526/2014,2026-05-08
anthracnosis_platano,Anthracnosis del plátano,Apiognomonia veneta,enfermedad_fungica,platano_sombra,Manchas marrones angulares en hoja|defoliación temprana|necrosis de brotes,Primavera (pre-foliación) / verano húmedo,Recogida y destrucción de hoja caída|favorecer ventilación de copa con poda selectiva|riego al pie evitando mojar hoja,no,no,Enfermedad sistémica del plátano de sombra — combinable con poda sanitaria invernal,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
oidio_platano,Oídio del plátano,Erysiphe platani,enfermedad_fungica,platano_sombra,Polvillo blanco en haz de la hoja|deformación foliar|defoliación parcial,Verano caluroso seco,Aireación de copa por aclareo|riego abundante al pie,no,no,Convive frecuentemente con la anthracnosis,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
mancha_negra_peral,Mancha negra del peral ornamental,Stigmina carpophila,enfermedad_fungica,almendro_ornamental,Manchas circulares marrón-negras en hoja|caída prematura|frutos manchados,Primavera lluviosa,Poda sanitaria de ramas afectadas|recogida de hoja caída|aclareo de copa,no,no,También conocida como cribado en almendros,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
lagarta_peluda,Lagarta peluda,Lymantria dispar,plaga_insecto,encina|melojo|olmo_comun,Defoliación severa de copa|orugas peludas grandes|masas de huevos cubiertas de pelos amarillos en tronco,Primavera-verano,Destrucción de masas de huevos en invierno|trampas de feromonas|control biológico con Bacillus thuringiensis,no,si,Los pelos pueden causar urticaria en personas sensibles — vigilancia escolar,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
escolitidos_olmo,Escolítidos del olmo,Scolytus scolytus,plaga_insecto,olmo_comun,Galerías subcorticales radiales|copas amarillentas|caída brusca de hoja,Verano,Apeo y destrucción de árboles muertos|control biológico,no,no,Vector principal de la grafiosis del olmo — más grave por la enfermedad que transmite que por daño directo,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
grafiosis_olmo,Grafiosis del olmo,Ophiostoma novo-ulmi,enfermedad_fungica,olmo_comun,Marchitamiento de copa|amarilleamiento súbito|necrosis vascular interna marrón,Verano,Apeo inmediato y destrucción de árboles afectados|sustitución por especies resistentes (olmo siberiano|melojo),no,no,Devastadora — ha eliminado los olmos comunes de muchas alineaciones históricas,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
cochinilla_algodonosa,Cochinilla algodonosa,Planococcus citri,plaga_insecto,naranjo_amargo|laurel_indias|magnolio,Masas algodonosas blancas en envés y ramas|melaza pegajosa|negrilla secundaria,Todo el año (peor en primavera-verano),Lavado a presión de manguera|favorecer enemigos naturales (Cryptolaemus)|poda de aireación,no,no,La negrilla (hongo secundario sobre la melaza) afecta a vehículos estacionados bajo el árbol,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
mineradores_foliares,Mineradores foliares,Phyllonorycter spp,plaga_insecto,robinia|platano_sombra,Galerías serpenteantes blanquecinas en haz de la hoja|defoliación parcial,Primavera-verano,Recogida de hoja caída en otoño|aireación de copa,no,no,Daño estético más que sanitario en la mayoría de casos,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
chancro_cipres,Chancro del ciprés,Seiridium cardinale,enfermedad_fungica,ciprés_mediterráneo,Ramas individuales que pierden el verde y se tornan rojizas|exudaciones de resina|cortezas con grietas alargadas,Primavera-verano,Poda sanitaria de ramas afectadas con desinfección de tijera|sustituir cipreses muertos por especies resistentes,no,no,Enfermedad clave del ciprés mediterráneo — vigilancia en cementerios y paseos formales,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
fuego_bacteriano,Fuego bacteriano,Erwinia amylovora,enfermedad_bacteriana,almendro_ornamental,Brotes con aspecto quemado|encorvamiento en cayado|exudación bacteriana,Primavera-principios verano,Poda sanitaria con desinfección de herramientas|destrucción del material podado por incineración,si,no,DECLARACIÓN OBLIGATORIA. Regulado por RD 1201/1999 (programa nacional erradicación) y Reglamento UE 2019/2072 anexo II.,RD 1201/1999 + Reglamento UE 2019/2072,2026-05-08
psyla_acacia_constantinopla,Psyla de la acacia de Constantinopla,Acizzia jamatonica,plaga_insecto,acacia_constantinopla,Hojas pegajosas con melaza|amarilleo|negrilla secundaria,Verano,Lavado de la copa con manguera|favorecer enemigos naturales,no,no,Plaga frecuente en acacias de Constantinopla urbanas,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
hongos_de_madera,Hongos de pudrición de madera,,enfermedad_fungica,,Cuerpos fructíferos en tronco o ramas (orejas|setas)|cavidades visibles|huecos en el tronco,Otoño tras lluvias,Evaluación profesional VTA|consideración de poda saneamiento o tala según riesgo,no,no,La presencia de cuerpos fructíferos siempre obliga a evaluación VTA por técnico cualificado,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
salinidad_riego,Daño por salinidad,,trastorno_abiotico,,Necrosis marginal en hoja|amarilleamiento|defoliación,Verano,Lavado del bulbo radicular con riego abundante|sustitución de sustrato si es severo,no,no,Frecuente en alcorques con sales acumuladas o cerca del mar,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
heridas_sega,Heridas de máquina de siega,,trastorno_abiotico,,Cortezas dañadas en la base del tronco|pérdida de cambium en zona afectada,Todo el año,Protección con tutores de plástico o arena en el alcorque|formación del personal de jardinería,no,no,Vía de entrada para hongos de pudrición — origen frecuente del declive del árbol,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
golpe_calor_urbano,Golpe de calor urbano,,trastorno_abiotico,,Quemaduras en hojas (especialmente expuestas al sur)|defoliación parcial,Verano,Riego suplementario en olas de calor|sombreado temporal en árboles jóvenes,no,no,Más grave en árboles plantados en alcorques sellados por asfalto,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
fitotoxicidad_herbicida,Fitotoxicidad por herbicida,,trastorno_abiotico,,Deformaciones foliares|encarrujamiento|amarilleo en mancha,Primavera-verano,Mejor manejo de tratamientos en parterres y alcorques|formación de cuadrillas,no,no,Frecuente cuando se aplican herbicidas en parterres adyacentes con deriva,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
contaminacion_atmosferica,Daño por contaminación atmosférica,,trastorno_abiotico,,Defoliación prematura|hojas pequeñas|crecimiento ralentizado,Verano (cumulativo),Riego abundante para lavar deposiciones|sustitución por especies tolerantes a contaminación (ginkgo|melojo),no,no,Más visible en alineaciones de alta densidad de tráfico,AEPJP + Estaciones Aviso Fitosanitario CCAA,2026-05-08
xylella_arbolado,Xylella en arbolado ornamental,Xylella fastidiosa,enfermedad_bacteriana,olivo_ornamental|almendro_ornamental,Hojas con quemaduras marginales avanzando hacia el centro|ramas secas|decaimiento progresivo del árbol,Vector chinche escupidor (Philaenus spumarius). Detecciones en olivar Mallorca y Alicante.,Erradicación de árboles sintomáticos y zona tampón|control vector con cubierta vegetal manejada|NO existe tratamiento curativo,si,no,Plaga cuarentenaria UE. Aplicable a olivo ornamental y otros hospedantes urbanos.,Reglamento UE 2019/2072 + RD 690/2017,2026-05-08
avispilla_castano,Avispilla del castaño,Dryocosmus kuriphilus,plaga_insecto,castaño_indio|castaño_dulce,Agallas verdes y rojizas en hojas y brotes nuevos|crecimiento detenido|fructificación reducida|defoliación parcial,Primavera (eclosión)|verano (agallas visibles),Suelta de Torymus sinensis (parasitoide específico)|poda y destrucción de agallas|vigilancia de planta nueva importada,si,no,Plaga cuarentenaria UE. Castaños ornamentales urbanos también afectados.,Reglamento UE 2019/2072 + Plan Contingencia MAPA,2026-05-08
